student_id,risk_score,issue,recommended_action
STU1130,62.5,Low attendance (54.7%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1130,62.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1077,62.5,Fee due for 43+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1077,62.5,"Weak academic performance (marks: 81.7, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2914,62.5,Low attendance (51.0%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2914,62.5,"Weak academic performance (marks: 33.0, backlogs: 0)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2914,62.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1775,62.5,Low attendance (54.4%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1775,62.5,First-generation learner commuting long distance (55 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2063,62.4,Low attendance (51.9%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1648,62.4,"Weak academic performance (marks: 60.3, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1472,62.3,Low attendance (55.3%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1472,62.3,Fee due for 51+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1004,62.1,"Weak academic performance (marks: 25.9, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1411,62.1,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2680,62.0,"Weak academic performance (marks: 39.8, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2680,62.0,Low assignment submission (40%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2680,62.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1293,61.9,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1293,61.9,Low assignment submission (47%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2790,61.6,Low attendance (49.9%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2790,61.6,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2389,61.6,Fee due for 40+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2389,61.6,"Weak academic performance (marks: 62.5, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2571,61.5,Low attendance (59.2%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2571,61.5,"Weak academic performance (marks: 83.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1755,61.4,Fee due for 48+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2850,61.3,"Weak academic performance (marks: 50.6, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2850,61.3,Low assignment submission (49%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1426,61.2,"Weak academic performance (marks: 70.3, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1426,61.2,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2148,61.1,Fee due for 43+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2148,61.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2969,61.0,Fee due for 53+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2969,61.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1840,60.9,Fee due for 54+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1840,60.9,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2031,60.8,Low attendance (53.0%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2031,60.8,Fee due for 44+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2031,60.8,"Weak academic performance (marks: 48.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2031,60.8,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2722,60.7,"Weak academic performance (marks: 30.5, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2682,60.7,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2665,60.5,"Weak academic performance (marks: 37.4, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2665,60.5,Low assignment submission (38%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2258,60.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1494,60.5,Fee due for 40+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1494,60.5,"Weak academic performance (marks: 37.4, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1494,60.5,Low assignment submission (30%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1494,60.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2716,60.4,Fee due for 59+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2716,60.4,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2886,60.2,"Weak academic performance (marks: 20.5, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2797,60.2,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2137,60.2,Low attendance (59.6%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2137,60.2,"Weak academic performance (marks: 41.6, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2424,60.1,"Weak academic performance (marks: 28.0, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1006,60.0,Fee due for 47+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1006,60.0,"Weak academic performance (marks: 60.0, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2058,59.9,Fee due for 36+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2058,59.9,"Weak academic performance (marks: 38.4, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2058,59.9,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2510,59.8,"Weak academic performance (marks: 82.0, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2192,59.8,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2192,59.8,"Weak academic performance (marks: 100.0, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1139,59.7,Low attendance (59.5%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1139,59.7,"Weak academic performance (marks: 33.6, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2329,59.7,"Weak academic performance (marks: 75.0, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2329,59.7,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1189,59.6,Low attendance (55.3%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1189,59.6,"Weak academic performance (marks: 70.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1189,59.6,First-generation learner commuting long distance (37 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU1447,59.6,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1447,59.6,"Weak academic performance (marks: 55.8, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1401,59.6,"Weak academic performance (marks: 63.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1502,59.5,Low attendance (57.0%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1205,59.4,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2887,59.3,Fee due for 43+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2662,59.2,Low attendance (46.2%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2662,59.2,Fee due for 46+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2662,59.2,First-generation learner commuting long distance (40 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2595,59.2,Fee due for 52+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2595,59.2,"Weak academic performance (marks: 80.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2595,59.2,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2936,59.2,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2936,59.2,"Weak academic performance (marks: 82.5, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2936,59.2,Low assignment submission (49%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2697,59.1,Fee due for 51+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2697,59.1,First-generation learner commuting long distance (33 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2697,59.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2220,59.1,Fee due for 51+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2220,59.1,First-generation learner commuting long distance (65 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2551,59.1,Fee due for 47+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2551,59.1,"Weak academic performance (marks: 31.8, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1092,59.1,"Weak academic performance (marks: 71.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2978,59.0,"Weak academic performance (marks: 70.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1885,58.9,Fee due for 50+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1132,58.9,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2211,58.8,"Weak academic performance (marks: 38.8, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1831,58.7,Fee due for 39+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1831,58.7,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1265,58.7,Low attendance (59.3%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1419,58.6,Fee due for 40+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1419,58.6,"Weak academic performance (marks: 36.1, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2325,58.6,Low attendance (48.4%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2325,58.6,"Weak academic performance (marks: 68.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2325,58.6,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1223,58.6,Low attendance (53.8%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1223,58.6,"Weak academic performance (marks: 56.7, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1807,58.5,"Weak academic performance (marks: 45.0, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2284,58.5,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2284,58.5,"Weak academic performance (marks: 31.9, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2916,58.4,Low assignment submission (49%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2916,58.4,First-generation learner commuting long distance (47 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU1896,58.4,"Weak academic performance (marks: 22.5, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2844,58.1,Fee due for 37+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2979,58.1,"Weak academic performance (marks: 41.1, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2979,58.1,Low assignment submission (49%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU2979,58.1,First-generation learner commuting long distance (32 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2979,58.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2165,57.9,"Weak academic performance (marks: 28.5, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2528,57.9,"Weak academic performance (marks: 27.0, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2528,57.9,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2737,57.9,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2882,57.8,Low attendance (59.5%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2882,57.8,Fee due for 54+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2882,57.8,"Weak academic performance (marks: 26.8, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2882,57.8,Low assignment submission (49%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1970,57.7,"Weak academic performance (marks: 25.6, backlogs: 0)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1970,57.7,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2320,57.7,Fee due for 50+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2320,57.7,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2810,57.7,"Weak academic performance (marks: 42.1, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2414,57.7,Fee due for 34+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2414,57.7,"Weak academic performance (marks: 50.1, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2414,57.7,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2120,57.6,Fee due for 33+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2120,57.6,"Weak academic performance (marks: 51.3, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1654,57.6,"Weak academic performance (marks: 48.2, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2591,57.5,Low attendance (34.2%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2591,57.5,"Weak academic performance (marks: 70.9, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2591,57.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2089,57.5,Fee due for 49+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2585,57.4,Fee due for 39+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2585,57.4,"Weak academic performance (marks: 36.7, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1882,57.3,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU1022,57.3,"Weak academic performance (marks: 84.5, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1033,57.3,"Weak academic performance (marks: 69.1, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2367,57.2,"Weak academic performance (marks: 63.2, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2367,57.2,Low assignment submission (50%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1214,57.1,Fee due for 45+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1214,57.1,"Weak academic performance (marks: 51.5, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1247,57.1,"Weak academic performance (marks: 36.1, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1436,57.1,Fee due for 34+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1436,57.1,"Weak academic performance (marks: 57.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1436,57.1,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1245,57.0,Fee due for 39+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1112,56.9,Fee due for 47+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1112,56.9,"Weak academic performance (marks: 60.7, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1112,56.9,First-generation learner commuting long distance (32 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2105,56.9,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2105,56.9,"Weak academic performance (marks: 66.5, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2105,56.9,Low assignment submission (50%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1592,56.9,"Weak academic performance (marks: 59.2, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2604,56.9,"Weak academic performance (marks: 74.1, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2604,56.9,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1416,56.7,Fee due for 38+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1416,56.7,"Weak academic performance (marks: 69.9, backlogs: 4)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1416,56.7,Low assignment submission (47%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1639,56.7,Low attendance (58.6%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2316,56.7,"Weak academic performance (marks: 59.0, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2082,56.5,Fee due for 65+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2082,56.5,"Weak academic performance (marks: 24.6, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2082,56.5,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2729,56.5,"Weak academic performance (marks: 18.3, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2985,56.2,"Weak academic performance (marks: 22.5, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2985,56.2,Low assignment submission (46%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
STU1676,56.2,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU1222,56.1,Fee due for 44+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1193,56.1,Low attendance (59.3%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1193,56.1,"Weak academic performance (marks: 35.5, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2964,56.0,Fee due for 46+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1089,56.0,Fee due for 55+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1089,56.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1534,56.0,"Weak academic performance (marks: 52.5, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1731,55.9,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2807,55.9,Fee due for 55+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2807,55.9,"Weak academic performance (marks: 24.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2817,55.9,"Weak academic performance (marks: 57.8, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1281,55.6,Fee due for 47+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2131,55.6,Fee due for 41+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2131,55.6,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2207,55.6,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU2799,55.6,Fee due for 48+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2799,55.6,First-generation learner commuting long distance (43 km),Consider hostel accommodation support or local commute assistance; connect with first-gen student support group.
STU2372,55.5,Low attendance (57.4%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1868,55.4,Fee due for 39+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU1868,55.4,"Weak academic performance (marks: 69.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2544,55.4,"Weak academic performance (marks: 84.8, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2016,55.4,Fee due for 44+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2016,55.4,"Weak academic performance (marks: 32.7, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2351,55.4,Low attendance (51.0%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU2363,55.4,"Weak academic performance (marks: 35.6, backlogs: 1)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2401,55.3,Fee due for 42+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2401,55.3,"Weak academic performance (marks: 70.3, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1349,55.2,"Weak academic performance (marks: 52.9, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2379,55.2,Fee due for 55+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2379,55.2,"Weak academic performance (marks: 46.9, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2261,55.2,No major single risk factor,Risk likely from a combination of smaller factors. Recommend a general wellness/academic check-in.
STU1711,55.0,"Weak academic performance (marks: 87.6, backlogs: 3)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU1711,55.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2399,55.0,Fee due for 46+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2399,55.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU2684,55.0,"Weak academic performance (marks: 70.9, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2684,55.0,"Low family income, no current scholarship",Proactively inform about applicable scholarships and fee-waiver schemes; refer to financial counselor.
STU1267,54.9,Low attendance (56.5%),"Schedule a one-on-one meeting with class mentor to understand reasons for absence (health, financial, personal). Consider attendance recovery plan."
STU1267,54.9,Fee due for 37+ days,Refer to financial aid / scholarship cell. Check eligibility for fee installment plan or government scholarship schemes.
STU2295,54.8,"Weak academic performance (marks: 40.6, backlogs: 2)",Enroll in peer tutoring / remedial classes. Assign faculty mentor for subject-specific support.
STU2295,54.8,Low assignment submission (32%),Check in on workload/time-management challenges. Consider flexible deadlines or study-skills workshop referral.
